Distance (km),Elevation (m)
3.223887102138822,751.0
3.239428635254591,755.0
3.2482134161429514,755.0
3.2747165945432344,768.0
3.298844813917242,775.0
3.3260723707389657,780.0
3.35252286708478,788.0
3.3791562099381443,797.0
3.4044228119561795,803.0
3.4305575838775764,807.0
3.450252222430419,813.0
3.474598364972819,825.0
3.501686183607354,830.0
3.5270684832319894,835.0
3.5538835503877277,832.0
3.5779469108634956,830.0
3.6010673123312005,833.0
3.6259395998707626,838.0
3.6510686808056305,842.0
3.676475719640574,846.0
3.70011684375797,851.0
3.72467997280818,857.0
3.750346042529522,865.0
3.7772973681851028,874.0
3.8019506570073176,881.0
3.827705252513703,891.0
3.8519796204366132,898.0
3.8775878159476056,904.0
3.903217537179012,912.0
3.92872320664213,919.0
3.9429777683441216,919.0
3.9625845024927675,929.0
3.9888302674032214,938.0
4.014713195580782,946.0
4.038464807428122,953.0
4.0616814606807,960.0
4.086550623962193,975.0
4.098247937612012,981.0
4.108581794599776,982.0
4.132964184092361,978.0
4.157975374737311,973.0
4.183280952988412,973.0
4.208318191366097,973.0
4.219620285426963,974.0
4.244446979319887,976.0
4.257570811422443,976.0
4.27992808180685,980.0
4.3035312830361985,985.0
4.326759287585042,989.0
4.3523617826492815,990.0
4.377538226634305,993.0
4.402626357587004,1001.0
4.4286338709385324,1008.0
4.451865749860481,1011.0
4.4764170308776965,1015.0
4.5011839680732395,1018.0
4.528047833083392,1022.0
4.551646431946821,1023.0
4.5725396654857065,1028.0
4.5971207728694985,1034.0
4.621032853120021,1041.0
4.648094806737208,1043.0
4.6716032899212125,1044.0
4.695864277524749,1046.0
4.7212413400414555,1050.0
4.732117378409853,1052.0
4.75545547684693,1058.0
4.779954356696232,1064.0
4.8056531188236695,1070.0
4.829433453996094,1070.0
4.855048231267995,1066.0
4.8784693333013,1069.0
4.895769868326733,1066.0
4.9204254127260105,1056.0
4.94601258733135,1045.0
4.971418338798087,1034.0
4.996710190838945,1031.0
5.018659746828175,1032.0
5.042372927507682,1032.0
5.067363524539566,1032.0
5.092503617708988,1033.0
5.118211899841197,1039.0
5.144263156908078,1040.0
5.168318244516904,1039.0
5.192003637755482,1037.0
5.218343149705184,1038.0
5.243552083147677,1041.0
5.270508561992213,1045.0
5.296667193021626,1046.0
5.320863860557846,1046.0
5.34511597926544,1046.0
5.367390147615028,1045.0
5.393164840912952,1043.0
5.418566706766714,1036.0
5.439286216804138,1032.0
5.464495647725818,1027.0
5.487732276233522,1029.0
5.513160712392483,1028.0
5.538686915080828,1020.0
5.563598727839239,1014.0
5.5887427170690795,1011.0
5.600846219969776,1009.0
5.625702422151745,999.0
5.649293872627184,992.0
5.674107475437659,985.0
5.691504173238828,985.0
5.704799684545941,984.0
5.721746156541718,982.0
5.739997063586642,977.0
5.76398358150285,971.0
5.788195442470473,974.0
5.8132603569899866,982.0
5.825691701198394,985.0
5.850715179052669,984.0
5.871907365942602,980.0
5.898563615892694,975.0
5.923981167262788,975.0
5.949725559572277,973.0
5.973615187527929,972.0
5.99821644321976,971.0
6.020633315029915,970.0
6.043774827335314,969.0
6.0684350698228355,970.0
6.094079504868581,970.0
6.119877405642072,969.0
6.143303600678828,964.0
6.167289826489209,960.0
6.193011891669638,959.0
6.217182222178999,952.0
6.241971966801784,943.0
6.268117681246545,933.0
6.2931087350344335,928.0
6.318259601345979,919.0
6.344380207885692,913.0
6.371405943854569,912.0
6.394974566653311,912.0
6.421379989477847,917.0
6.436096373459503,920.0
6.453865094881892,918.0
6.479961717525167,914.0
6.501028785522366,911.0
6.525529622587345,911.0
6.546009310848079,904.0
6.56855896172071,896.0
6.593418705399056,890.0
6.619249663362983,886.0
6.6427859077467994,881.0
6.66774961233699,874.0
6.693899099984951,870.0
6.718474970612018,867.0
6.743553268086215,862.0
6.764219176120507,857.0
6.790126443702707,853.0
6.814928187213729,850.0
6.828100797286853,848.0
6.843472411618812,846.0
6.861528758784878,840.0
6.885265802144926,829.0
6.908597409727364,817.0
6.933262154379156,809.0
6.95404415578149,807.0
6.973200218530876,802.0
6.992174475042694,799.0
7.012729357554236,795.0
7.030363661271218,789.0
7.054913690183427,787.0
7.068982531744876,777.0
7.080628159021487,772.0
7.105615866688225,763.0
7.131557158347445,763.0
7.150847581946611,763.0
7.1736847668036265,757.0
7.195808320566678,748.0
7.222159240374188,739.0
7.249048515442408,731.0
7.274413453041143,725.0
7.300233129930283,719.0
7.325821554632092,713.0
7.350812582349278,706.0
7.378333062562279,699.0
7.403985285776244,698.0
7.420925029783484,696.0
7.445741527845919,693.0
7.467661044242877,689.0
7.489460030820898,687.0
7.515645838213158,691.0
7.541806215717125,687.0
7.566439278057937,684.0
7.5830162680872295,678.0
7.606578930645891,679.0
7.6309136050229185,677.0
7.654936008628353,670.0
7.67899285144105,669.0
7.704212135245182,663.0
7.7283489454233,656.0
7.746275917481146,651.0
